Name,ra,dec,teff,eteff,logg,elogg,F,eF,vsini,evsini,RHKp,dRHKp,vsinflag,snr,RVflag,metflag
BD-043206,181.585345,-4.91463,5500.0,50.0,4.36,0.01,0.0,0.1,2.0,0.0,2.3691932789915466E-5,8.936835962267229E-7,1,47.53333333333334,0,0
BD-043588,208.773898,-5.44266,5881.5,193.054,3.388,0.171,-0.38,0.125,5.632,0.958,-2.3099454325669206E-8,2.5685149535439455E-6,0,119.16517029946291,0,0
BD-053461,183.952679,-6.40084,5657.1,50.0,3.729,0.06,-0.78,0.057,2.608,0.764,5.753422177460673E-6,6.742974458545123E-7,0,117.66666666666667,0,0
BD-053763,206.845252,-6.13917,4938.9,50.0,4.878,0.01,-0.62,0.1,2.0,0.0,2.6042816095791967E-5,1.63360463496628E-6,1,35.85,0,0
BD-055432,315.025774,-5.09544,4782.1,50.0,4.223,0.099,0.22,0.043,3.336,0.246,5.021432467503833E-5,2.721936834947864E-6,0,141.37379962684116,0,0
BD-073537,196.024554,-8.073155,5870.0,131.335,4.00755,0.0769612,0.0,0.5,2.0,0.0,1.4026615882173108E-5,3.235083663972312E-6,1,129.36518561807884,0,1
BD-07436B,37.156054499999996,-7.06386,4897.6,50.0,4.899,0.01,-0.24,0.1,2.0,0.0,5.4479322130036585E-5,4.171690933390576E-6,1,31.72089216904216,0,0
BD-081175,84.233754,-8.79947,3506.6,50.0,4.523,0.01,0.97,0.1,2.0,0.0,-1.6959753164335686E-8,1.45884856948895E-7,1,68.04135001967553,0,0
BD-093064,156.073846,-9.85685,6679.2,271.173,4.769,0.36,-0.09,0.091,6.644,1.671,-1.2334217377749314E-5,1.156745372772924E-5,0,20.8,0,0
BD-096003,338.368208,-9.023015000000001,4889.9,50.0,3.605,0.09,0.26,0.043,3.672,0.312,8.400644033070266E-6,5.022510668256848E-7,0,81.9346141749627,0,0
BD-096325,1.74861,-8.77623,5616.1,300.0,4.334,0.6,0.19,0.073,21.06,1.629,4.6137181772220345E-5,7.082270187432033E-6,0,63.95,0,0
BD-101177,81.09177,-10.34702,6222.2,50.0,4.899,0.01,0.32,0.1,9.6649,0.0,3.9321872790475565E-5,1.0887788972670232E-6,2,77.9,0,0
BD-114672,278.36966,-11.63613,4777.1,50.0,4.899,0.01,-0.58,0.1,2.0,0.0,5.446560391390852E-5,2.7594496642804174E-6,1,196.66978122944369,0,0
